Date;Filière;Valeur (TWh)
2014-01;"Consommation corrigée";53,223
2014-02;"Consommation corrigée";46,043
2014-03;"Consommation corrigée";45,01
2014-04;"Consommation corrigée";37,362
2014-05;"Consommation corrigée";33,712
2014-06;"Consommation corrigée";32,424
2014-07;"Consommation corrigée";33,914
2014-08;"Consommation corrigée";31,061
2014-09;"Consommation corrigée";33,123
2014-10;"Consommation corrigée";37,484
2014-11;"Consommation corrigée";43,46
2014-12;"Consommation corrigée";51,233
2015-01;"Consommation corrigée";53,104
2015-02;"Consommation corrigée";45,772
2015-03;"Consommation corrigée";45,788
2015-04;"Consommation corrigée";37,315
2015-05;"Consommation corrigée";33,456
2015-06;"Consommation corrigée";33,065
2015-07;"Consommation corrigée";34,386
2015-08;"Consommation corrigée";31,333
2015-09;"Consommation corrigée";33,444
2015-10;"Consommation corrigée";37,637
2015-11;"Consommation corrigée";44,234
2015-12;"Consommation corrigée";51,262
2016-01;"Consommation corrigée";52,859
2016-02;"Consommation corrigée";47,466
2016-03;"Consommation corrigée";45,256
2016-04;"Consommation corrigée";37,264
2016-05;"Consommation corrigée";33,704
2016-06;"Consommation corrigée";32,699
2016-07;"Consommation corrigée";33,65
2016-08;"Consommation corrigée";31,964
2016-09;"Consommation corrigée";33,07
2016-10;"Consommation corrigée";37,273
2016-11;"Consommation corrigée";43,896
2016-12;"Consommation corrigée";50,759
2017-01;"Consommation corrigée";53,391
2017-02;"Consommation corrigée";45,697
2017-03;"Consommation corrigée";45,917
2017-04;"Consommation corrigée";36,357
2017-05;"Consommation corrigée";33,631
2017-06;"Consommation corrigée";32,722
2017-07;"Consommation corrigée";33,757
2017-08;"Consommation corrigée";31,898
2017-09;"Consommation corrigée";33,277
2017-10;"Consommation corrigée";37,353
2017-11;"Consommation corrigée";43,941
2017-12;"Consommation corrigée";51,495
2018-01;"Consommation corrigée";53,82
2018-02;"Consommation corrigée";46,149
2018-03;"Consommation corrigée";45,83
2018-04;"Consommation corrigée";37,143
2018-05;"Consommation corrigée";33,328
2018-06;"Consommation corrigée";32,459
2018-07;"Consommation corrigée";34,158
2018-08;"Consommation corrigée";32,113
2018-09;"Consommation corrigée";32,54
2018-10;"Consommation corrigée";37,075
2018-11;"Consommation corrigée";43,723
2018-12;"Consommation corrigée";50,991
2019-01;"Consommation corrigée";53,47
2019-02;"Consommation corrigée";45,834
2019-03;"Consommation corrigée";45,674
2019-04;"Consommation corrigée";37,034
2019-05;"Consommation corrigée";33,504
2019-06;"Consommation corrigée";32,012
2019-07;"Consommation corrigée";34,078
2019-08;"Consommation corrigée";31,266
2019-09;"Consommation corrigée";32,099
2019-10;"Consommation corrigée";37,28
2019-11;"Consommation corrigée";43,118
2019-12;"Consommation corrigée";50,733
2020-01;"Consommation corrigée";52,777
2020-02;"Consommation corrigée";47,465
2020-03;"Consommation corrigée";42,754
2020-04;"Consommation corrigée";32,596
2020-05;"Consommation corrigée";30,261
2020-06;"Consommation corrigée";30,53
2020-07;"Consommation corrigée";32,877
2020-08;"Consommation corrigée";30,771
2020-09;"Consommation corrigée";31,704
2020-10;"Consommation corrigée";37,286
2020-11;"Consommation corrigée";42,155
2020-12;"Consommation corrigée";49,756
2021-01;"Consommation corrigée";52,193
2021-02;"Consommation corrigée";44,834
2021-03;"Consommation corrigée";44,11
2021-04;"Consommation corrigée";35,356
2021-05;"Consommation corrigée";32,358
2021-06;"Consommation corrigée";31,775
2021-07;"Consommation corrigée";33,039
2021-08;"Consommation corrigée";31,281
2021-09;"Consommation corrigée";32,066
2021-10;"Consommation corrigée";36,557
2021-11;"Consommation corrigée";42,832
2021-12;"Consommation corrigée";50,76
2022-01;"Consommation corrigée";52,839
2022-02;"Consommation corrigée";45,31
2022-03;"Consommation corrigée";44,958
2022-04;"Consommation corrigée";36,295
2022-05;"Consommation corrigée";32,758
2022-06;"Consommation corrigée";31,773
2022-07;"Consommation corrigée";32,92
2022-08;"Consommation corrigée";30,816
2022-09;"Consommation corrigée";30,966
2022-10;"Consommation corrigée";34,3
2022-11;"Consommation corrigée";40
2022-12;"Consommation corrigée";46,719
2023-01;"Consommation corrigée";49,863
2023-02;"Consommation corrigée";42,121
2023-03;"Consommation corrigée";41,981
2023-04;"Consommation corrigée";34,072
2023-05;"Consommation corrigée";31,139
2023-06;"Consommation corrigée";30,035
2023-07;"Consommation corrigée";31,93
2023-08;"Consommation corrigée";30,312
2023-09;"Consommation corrigée";30,279
2023-10;"Consommation corrigée";34,506
